1,2,5.2,60
1,3,8.2,102
1,4,6.2,70
1,5,4.2,40
1,6,3.2,35
1,7,5.2,66
2,3,8.5,102
2,4,5.8,65
2,5,7.2,72
2,6,5.4,53
2,7,4.5,51
3,4,2.7,30
3,5,3.2,35
3,6,4.1,43
3,7,8.5,89
4,5,3.7,41
4,6,4.3,49
4,7,7.4,72
5,6,7.4,71
5,7,5.2,53
6,7,7.4,73
7,8,130,1500
8,9,7.2,72
8,10,4.7,51
8,11,3.4,41
8,12,5.3,55
9,10,2.2,24
9,11,1.7,21
9,12,6.4,71
10,11,4.7,52
10,12,3.5,36
10,13,6.2,67
11,12,2.8,32
12,13,197,2460
13,14,2.6,31
13,15,4.5,51
13,16,3.8,45
13,17,4.2,51
13,18,2.8,32
14,15,3.3,41
14,16,4.8,58
14,17,5.2,62
14,18,3.7,41
15,16,4.4,53
15,17,5.3,64
15,18,3.8,43
16,17,1.2,22
16,18,2.1,35
17,18,3.8,44
7,15,330,45
